"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Sep 30 20:13:39 GMT 2023","Sat Sep 30 20:13:39 GMT 2023","0","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Sat Sep 30 20:11:36 GMT 2023","Sat Sep 30 20:11:38 GMT 2023","2100","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Sat Sep 30 20:13:13 GMT 2023","Sat Sep 30 20:13:14 GMT 2023","1661","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Sat Sep 30 20:05:15 GMT 2023","Sat Sep 30 20:05:17 GMT 2023","1346","tables","","","","","get roles","get roles list"
"skipped","Sat Sep 30 20:05:23 GMT 2023","Sat Sep 30 20:05:23 GMT 2023","0","[gui] support forms","","","","","contact enterprise sales",""
"passed","Sat Sep 30 20:05:18 GMT 2023","Sat Sep 30 20:05:19 GMT 2023","1285","tables","","","","","get extensions","get extensions list"
"passed","Sat Sep 30 20:07:45 GMT 2023","Sat Sep 30 20:07:46 GMT 2023","801","api","","","","","get api service","get api service and project info"
"passed","Sat Sep 30 20:05:17 GMT 2023","Sat Sep 30 20:05:18 GMT 2023","1353","tables","","","","","get triggers","get triggers list"
"passed","Sat Sep 30 20:11:42 GMT 2023","Sat Sep 30 20:11:47 GMT 2023","4819","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Sat Sep 30 20:12:09 GMT 2023","Sat Sep 30 20:12:13 GMT 2023","4459","storage","","","","","list files","list files in bucket"
"passed","Sat Sep 30 20:12:29 GMT 2023","Sat Sep 30 20:12:34 GMT 2023","4908","storage","","","","","get public link to file","get public link to file in the public bucket"
"skipped","Sat Sep 30 20:13:36 GMT 2023","Sat Sep 30 20:13:36 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"passed","Sat Sep 30 20:12:53 GMT 2023","Sat Sep 30 20:12:54 GMT 2023","907","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Sat Sep 30 20:12:13 GMT 2023","Sat Sep 30 20:12:17 GMT 2023","3944","storage","","","","","download file from bucket","download file"
"passed","Sat Sep 30 20:13:40 GMT 2023","Sat Sep 30 20:13:43 GMT 2023","2290","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Sat Sep 30 20:05:37 GMT 2023","Sat Sep 30 20:05:38 GMT 2023","1082","home","","","","","get project settings","get project settings"
