"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:18:09 GMT 2023","Sun Jul 23 12:18:14 GMT 2023","5059","storage","","","","","update file","update file check if it will change"
"skipped","Sun Jul 23 12:15:45 GMT 2023","Sun Jul 23 12:15:45 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"skipped","Sun Jul 23 12:16:02 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","0","realtime","subscribe on table","","","","subscribe on table 1",""
"skipped","Sun Jul 23 12:16:02 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","1","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"skipped","Sun Jul 23 12:18:57 GMT 2023","Sun Jul 23 12:18:57 GMT 2023","0","authentication","","","","","create new users by phone auth",""
"passed","Sun Jul 23 12:09:03 GMT 2023","Sun Jul 23 12:09:03 GMT 2023","67","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"passed","Sun Jul 23 12:18:27 GMT 2023","Sun Jul 23 12:18:29 GMT 2023","2207","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Sun Jul 23 12:16:38 GMT 2023","Sun Jul 23 12:16:40 GMT 2023","2320","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Sun Jul 23 12:18:05 GMT 2023","Sun Jul 23 12:18:09 GMT 2023","4144","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"skipped","Sun Jul 23 12:15:57 GMT 2023","Sun Jul 23 12:15:57 GMT 2023","1","realtime","","","","","[skip-local] receive event when connected to realtime",""
"passed","Sun Jul 23 12:18:57 GMT 2023","Sun Jul 23 12:19:00 GMT 2023","3068","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
"passed","Sun Jul 23 12:19:12 GMT 2023","Sun Jul 23 12:19:16 GMT 2023","3718","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"passed","Sun Jul 23 12:19:05 GMT 2023","Sun Jul 23 12:19:11 GMT 2023","5589","authentication","","","","","[skip-stage] on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"passed","Sun Jul 23 12:18:21 GMT 2023","Sun Jul 23 12:18:23 GMT 2023","2422","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Sun Jul 23 12:06:49 GMT 2023","Sun Jul 23 12:06:50 GMT 2023","385","tables","","","","","get schemas","get schemas list"
"passed","Sun Jul 23 12:18:19 GMT 2023","Sun Jul 23 12:18:21 GMT 2023","1799","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Sun Jul 23 12:15:41 GMT 2023","Sun Jul 23 12:15:45 GMT 2023","3665","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Sun Jul 23 12:17:31 GMT 2023","Sun Jul 23 12:17:36 GMT 2023","5324","storage","","","","","list files","list files in bucket"
"passed","Sun Jul 23 12:17:29 GMT 2023","Sun Jul 23 12:17:31 GMT 2023","2324","storage","","","","","upload to bucket","upload to bucket"
"passed","Sun Jul 23 12:16:00 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","1822","realtime","","","","","get supabase client subscriptions","When you create 2 subs (1 subscribed and 1 not yet) then both should be returned on get subs"
"skipped","Sun Jul 23 12:16:02 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","1","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Sun Jul 23 12:18:39 GMT 2023","Sun Jul 23 12:18:41 GMT 2023","1295","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Sun Jul 23 12:07:54 GMT 2023","Sun Jul 23 12:07:54 GMT 2023","68","home","","","","","get projects","get projects list"
"passed","Sun Jul 23 12:07:58 GMT 2023","Sun Jul 23 12:08:53 GMT 2023","55235","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Sun Jul 23 12:15:57 GMT 2023","Sun Jul 23 12:16:00 GMT 2023","3609","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"skipped","Sun Jul 23 12:16:02 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 1",""
"passed","Sun Jul 23 12:16:25 GMT 2023","Sun Jul 23 12:16:36 GMT 2023","10880","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"passed","Sun Jul 23 12:17:22 GMT 2023","Sun Jul 23 12:17:26 GMT 2023","3878","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"passed","Sun Jul 23 12:06:50 GMT 2023","Sun Jul 23 12:06:55 GMT 2023","5265","tables","","","","","add table","create table via dashboard API"
"passed","Sun Jul 23 12:16:43 GMT 2023","Sun Jul 23 12:16:47 GMT 2023","4155","postgrest","","","","","update row","User can update his profile in profiles table"
"passed","Sun Jul 23 12:06:55 GMT 2023","Sun Jul 23 12:06:55 GMT 2023","392","tables","","","","","get roles","get roles list"
"skipped","Sun Jul 23 12:16:02 GMT 2023","Sun Jul 23 12:16:02 GMT 2023","1","realtime","subscribe on table","","","","subscribe on table 0",""
