"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 02:02:24 GMT 2023","Mon Oct 16 02:02:26 GMT 2023","1974","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Mon Oct 16 02:04:23 GMT 2023","Mon Oct 16 02:04:26 GMT 2023","2318","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Mon Oct 16 02:04:32 GMT 2023","Mon Oct 16 02:04:35 GMT 2023","3185","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Mon Oct 16 02:03:43 GMT 2023","Mon Oct 16 02:03:45 GMT 2023","2381","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Mon Oct 16 02:02:35 GMT 2023","Mon Oct 16 02:02:39 GMT 2023","4168","storage","","","","","list buckets as admin","list buckets should return all buckets"
"skipped","Mon Oct 16 01:57:46 GMT 2023","Mon Oct 16 01:57:46 GMT 2023","5","storage","","","","","create storage bucket",""
"passed","Mon Oct 16 02:04:08 GMT 2023","Mon Oct 16 02:04:13 GMT 2023","4872","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Mon Oct 16 02:03:28 GMT 2023","Mon Oct 16 02:03:32 GMT 2023","4488","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"skipped","Mon Oct 16 02:04:02 GMT 2023","Mon Oct 16 02:04:02 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Mon Oct 16 02:03:01 GMT 2023","Mon Oct 16 02:03:05 GMT 2023","4558","storage","","","","","download file from bucket","download file"
"passed","Mon Oct 16 01:55:16 GMT 2023","Mon Oct 16 01:55:18 GMT 2023","1072","tables","","","","","get triggers","get triggers list"
"passed","Mon Oct 16 01:57:43 GMT 2023","Mon Oct 16 01:57:43 GMT 2023","573","api","","","","","get api service","get api service and project info"
"passed","Mon Oct 16 02:02:43 GMT 2023","Mon Oct 16 02:02:46 GMT 2023","3182","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Mon Oct 16 01:57:48 GMT 2023","Mon Oct 16 01:57:49 GMT 2023","563","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"passed","Mon Oct 16 02:03:41 GMT 2023","Mon Oct 16 02:03:43 GMT 2023","1971","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Mon Oct 16 02:04:03 GMT 2023","Mon Oct 16 02:04:05 GMT 2023","1671","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"skipped","Mon Oct 16 02:02:14 GMT 2023","Mon Oct 16 02:02:14 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"skipped","Mon Oct 16 02:04:26 GMT 2023","Mon Oct 16 02:04:26 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"passed","Mon Oct 16 02:04:45 GMT 2023","Mon Oct 16 02:04:49 GMT 2023","3563","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"passed","Mon Oct 16 01:55:34 GMT 2023","Mon Oct 16 01:55:35 GMT 2023","833","home","","","","","get projects","get projects list"
"skipped","Mon Oct 16 02:04:02 GMT 2023","Mon Oct 16 02:04:02 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 1",""
"skipped","Mon Oct 16 02:05:01 GMT 2023","Mon Oct 16 02:05:01 GMT 2023","25","functions","","","","","set auth",""
"passed","Mon Oct 16 02:03:32 GMT 2023","Mon Oct 16 02:03:36 GMT 2023","4275","storage","","","","","update file","update file check if it will change"
"passed","Mon Oct 16 02:03:57 GMT 2023","Mon Oct 16 02:04:02 GMT 2023","5112","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Mon Oct 16 02:04:30 GMT 2023","Mon Oct 16 02:04:32 GMT 2023","1934","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Mon Oct 16 01:55:19 GMT 2023","Mon Oct 16 01:55:20 GMT 2023","1304","tables","","","","","get publications","get publications list"
"passed","Mon Oct 16 02:02:22 GMT 2023","Mon Oct 16 02:02:24 GMT 2023","2313","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
