"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"passed","Mon Mar 04 20:11:59 GMT 2024","Mon Mar 04 20:12:04 GMT 2024","5043","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Mon Mar 04 20:11:45 GMT 2024","Mon Mar 04 20:11:46 GMT 2024","1841","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on table","","","","subscribe on table 1",""
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on table","","","","subscribe on table 2",""
"passed","Mon Mar 04 20:12:22 GMT 2024","Mon Mar 04 20:12:25 GMT 2024","2987","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"passed","Mon Mar 04 20:11:32 GMT 2024","Mon Mar 04 20:11:36 GMT 2024","3588","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"passed","Mon Mar 04 20:08:56 GMT 2024","Mon Mar 04 20:08:58 GMT 2024","2399","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","multiple subscriptions","","","","multiple subscriptions 2",""
"passed","Mon Mar 04 20:10:55 GMT 2024","Mon Mar 04 20:11:07 GMT 2024","11774","realtime","","","","","remove one subscription from client","When you remove one subscription then only events from another have to be returned"
"passed","Mon Mar 04 20:09:29 GMT 2024","Mon Mar 04 20:09:32 GMT 2024","2955","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Mon Mar 04 20:12:29 GMT 2024","Mon Mar 04 20:12:31 GMT 2024","1604","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"skipped","Mon Mar 04 20:12:04 GMT 2024","Mon Mar 04 20:12:04 GMT 2024","1","auth_admin","get url for provider","","","","get url for provider 0",""
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 3",""
"passed","Mon Mar 04 20:09:01 GMT 2024","Mon Mar 04 20:09:06 GMT 2024","5027","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Mon Mar 04 20:10:34 GMT 2024","Mon Mar 04 20:10:38 GMT 2024","3884","realtime","","","","","connect to realtime","When you call ""on"" table then connected realtime client should be returned"
"passed","Mon Mar 04 20:12:17 GMT 2024","Mon Mar 04 20:12:22 GMT 2024","4486","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","1","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 3",""
"passed","Mon Mar 04 20:09:35 GMT 2024","Mon Mar 04 20:09:41 GMT 2024","5809","storage","","","","","list files","list files in bucket"
"passed","Mon Mar 04 20:09:41 GMT 2024","Mon Mar 04 20:09:47 GMT 2024","5632","storage","","","","","download file from bucket","download file"
"passed","Mon Mar 04 20:12:08 GMT 2024","Mon Mar 04 20:12:11 GMT 2024","2804","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"passed","Mon Mar 04 20:10:23 GMT 2024","Mon Mar 04 20:10:30 GMT 2024","6640","storage","","","","","update file","update file check if it will change"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 1",""
"passed","Mon Mar 04 20:11:46 GMT 2024","Mon Mar 04 20:11:49 GMT 2024","2528","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Mon Mar 04 20:12:04 GMT 2024","Mon Mar 04 20:12:06 GMT 2024","1783","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Mon Mar 04 20:10:38 GMT 2024","Mon Mar 04 20:10:41 GMT 2024","3767","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"passed","Mon Mar 04 20:11:19 GMT 2024","Mon Mar 04 20:11:22 GMT 2024","2316","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Mon Mar 04 20:12:11 GMT 2024","Mon Mar 04 20:12:16 GMT 2024","5498","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Mon Mar 04 20:11:55 GMT 2024","Mon Mar 04 20:11:59 GMT 2024","4409","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"skipped","Mon Mar 04 20:12:04 GMT 2024","Mon Mar 04 20:12:04 GMT 2024","1","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:55 GMT 2024","11742","realtime","","","","","unsubscribe from table","When you unsubscribe from table then no events have to be returned"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 2",""
"passed","Mon Mar 04 20:11:36 GMT 2024","Mon Mar 04 20:11:42 GMT 2024","6704","authentication","","","","","[skip-stage] on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 1",""
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 0",""
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","1","realtime","subscribe on table","","","","subscribe on table 3",""
"passed","Mon Mar 04 20:09:17 GMT 2024","Mon Mar 04 20:09:21 GMT 2024","3533","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Mon Mar 04 20:08:58 GMT 2024","Mon Mar 04 20:09:01 GMT 2024","2388","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"skipped","Mon Mar 04 20:12:41 GMT 2024","Mon Mar 04 20:12:41 GMT 2024","4","functions","","","","","set auth",""
"skipped","Mon Mar 04 20:11:26 GMT 2024","Mon Mar 04 20:11:26 GMT 2024","0","authentication","","","","","create new users by phone auth",""
"passed","Mon Mar 04 20:09:54 GMT 2024","Mon Mar 04 20:10:01 GMT 2024","7153","storage","","","","","[skip-local] copy file in bucket","copy file"
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","1","realtime","multiple subscriptions","","","","multiple subscriptions 0",""
"skipped","Mon Mar 04 20:10:43 GMT 2024","Mon Mar 04 20:10:43 GMT 2024","0","realtime","","","","","subscribe from 2 clients",""
"passed","Mon Mar 04 20:12:06 GMT 2024","Mon Mar 04 20:12:08 GMT 2024","1817","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Mon Mar 04 20:11:49 GMT 2024","Mon Mar 04 20:11:53 GMT 2024","4049","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"passed","Mon Mar 04 20:10:07 GMT 2024","Mon Mar 04 20:10:12 GMT 2024","5380","storage","","","","","get public link to private file","get public link to file in the private bucket"
"passed","Mon Mar 04 20:11:44 GMT 2024","Mon Mar 04 20:11:45 GMT 2024","934","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Mon Mar 04 20:12:31 GMT 2024","Mon Mar 04 20:12:34 GMT 2024","3233","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Mon Mar 04 20:11:07 GMT 2024","Mon Mar 04 20:11:18 GMT 2024","11364","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
