"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 08:17:09 GMT 2023","Wed Jul 26 08:17:13 GMT 2023","4388","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Wed Jul 26 08:14:52 GMT 2023","Wed Jul 26 08:14:57 GMT 2023","5265","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"passed","Wed Jul 26 08:13:46 GMT 2023","Wed Jul 26 08:13:51 GMT 2023","5050","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Wed Jul 26 08:15:32 GMT 2023","Wed Jul 26 08:15:39 GMT 2023","6540","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Wed Jul 26 08:14:57 GMT 2023","Wed Jul 26 08:15:00 GMT 2023","2950","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Wed Jul 26 08:14:19 GMT 2023","Wed Jul 26 08:14:20 GMT 2023","1898","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Wed Jul 26 08:06:32 GMT 2023","Wed Jul 26 08:06:34 GMT 2023","1329","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"skipped","Wed Jul 26 08:17:01 GMT 2023","Wed Jul 26 08:17:01 GMT 2023","1","authentication","","","","","create new users by phone auth",""
"passed","Wed Jul 26 08:05:24 GMT 2023","Wed Jul 26 08:05:24 GMT 2023","260","home","","","","","get organizations","get organizations list"
"failed","Wed Jul 26 08:05:33 GMT 2023","Wed Jul 26 08:06:22 GMT 2023","48336","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Wed Jul 26 08:17:20 GMT 2023","Wed Jul 26 08:17:25 GMT 2023","4246","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"passed","Wed Jul 26 08:14:47 GMT 2023","Wed Jul 26 08:14:52 GMT 2023","5317","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Wed Jul 26 08:17:15 GMT 2023","Wed Jul 26 08:17:20 GMT 2023","5761","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"skipped","Wed Jul 26 08:06:29 GMT 2023","Wed Jul 26 08:06:29 GMT 2023","6","storage","","","","","create storage bucket",""
"passed","Wed Jul 26 08:05:00 GMT 2023","Wed Jul 26 08:05:01 GMT 2023","1401","tables","","","","","get extensions","get extensions list"
"skipped","Wed Jul 26 08:16:34 GMT 2023","Wed Jul 26 08:16:34 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Wed Jul 26 08:14:29 GMT 2023","Wed Jul 26 08:14:36 GMT 2023","6384","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Wed Jul 26 08:06:24 GMT 2023","Wed Jul 26 08:06:25 GMT 2023","1008","api","","","","","get api service","get api service and project info"
"passed","Wed Jul 26 08:15:55 GMT 2023","Wed Jul 26 08:16:03 GMT 2023","7174","storage","","","","","update file","update file check if it will change"
"passed","Wed Jul 26 08:16:36 GMT 2023","Wed Jul 26 08:16:38 GMT 2023","2226","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Wed Jul 26 08:04:38 GMT 2023","Wed Jul 26 08:04:41 GMT 2023","2450","tables","","","","","get tables","get tables list"
"passed","Wed Jul 26 08:15:39 GMT 2023","Wed Jul 26 08:15:44 GMT 2023","5660","storage","","","","","get public link to private file","get public link to file in the private bucket"
"skipped","Wed Jul 26 08:17:09 GMT 2023","Wed Jul 26 08:17:09 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"passed","Wed Jul 26 08:14:04 GMT 2023","Wed Jul 26 08:14:10 GMT 2023","5582","postgrest","","","","","update row","User can update his profile in profiles table"
"passed","Wed Jul 26 08:13:57 GMT 2023","Wed Jul 26 08:14:01 GMT 2023","3444","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Wed Jul 26 08:17:01 GMT 2023","Wed Jul 26 08:17:06 GMT 2023","5501","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
"passed","Wed Jul 26 08:05:12 GMT 2023","Wed Jul 26 08:05:20 GMT 2023","8235","sql","","","","","create content","create new sql query in editor"
"passed","Wed Jul 26 08:14:23 GMT 2023","Wed Jul 26 08:14:29 GMT 2023","6277","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Wed Jul 26 08:05:26 GMT 2023","Wed Jul 26 08:05:30 GMT 2023","3788","home","","","","","supabase auth is working in project","check supabase clients works correctly"
"skipped","Wed Jul 26 08:16:34 GMT 2023","Wed Jul 26 08:16:34 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Wed Jul 26 08:05:25 GMT 2023","Wed Jul 26 08:05:26 GMT 2023","1368","home","","","","","get project","get project"
"skipped","Wed Jul 26 08:14:18 GMT 2023","Wed Jul 26 08:14:18 GMT 2023","4","functions","","","","","set auth",""
"passed","Wed Jul 26 08:16:08 GMT 2023","Wed Jul 26 08:16:10 GMT 2023","2329","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Wed Jul 26 08:15:04 GMT 2023","Wed Jul 26 08:15:11 GMT 2023","7194","storage","","","","","list files","list files in bucket"
"passed","Wed Jul 26 08:17:25 GMT 2023","Wed Jul 26 08:17:29 GMT 2023","4622","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"passed","Wed Jul 26 08:04:57 GMT 2023","Wed Jul 26 08:04:58 GMT 2023","1188","tables","","","","","get roles","get roles list"
"passed","Wed Jul 26 08:16:54 GMT 2023","Wed Jul 26 08:17:01 GMT 2023","6226","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Wed Jul 26 08:05:01 GMT 2023","Wed Jul 26 08:05:03 GMT 2023","1895","tables","","","","","get publications","get publications list"
"passed","Wed Jul 26 08:13:37 GMT 2023","Wed Jul 26 08:13:38 GMT 2023","1179","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Wed Jul 26 08:13:38 GMT 2023","Wed Jul 26 08:13:41 GMT 2023","2286","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Wed Jul 26 08:04:58 GMT 2023","Wed Jul 26 08:05:00 GMT 2023","1882","tables","","","","","get triggers","get triggers list"
"passed","Wed Jul 26 08:14:10 GMT 2023","Wed Jul 26 08:14:17 GMT 2023","7109","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Wed Jul 26 08:16:19 GMT 2023","Wed Jul 26 08:16:22 GMT 2023","3367","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Wed Jul 26 08:16:44 GMT 2023","Wed Jul 26 08:16:50 GMT 2023","6740","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Wed Jul 26 08:14:01 GMT 2023","Wed Jul 26 08:14:04 GMT 2023","3377","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Wed Jul 26 08:05:23 GMT 2023","Wed Jul 26 08:05:24 GMT 2023","952","home","","","","","get projects","get projects list"
"skipped","Wed Jul 26 08:06:27 GMT 2023","Wed Jul 26 08:06:27 GMT 2023","6","users","","","","","[skip-stage] invite user",""
"passed","Wed Jul 26 08:17:31 GMT 2023","Wed Jul 26 08:17:35 GMT 2023","3917","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Wed Jul 26 08:16:38 GMT 2023","Wed Jul 26 08:16:44 GMT 2023","5460","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"passed","Wed Jul 26 08:16:52 GMT 2023","Wed Jul 26 08:16:54 GMT 2023","2883","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Wed Jul 26 08:16:22 GMT 2023","Wed Jul 26 08:16:27 GMT 2023","4913","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Wed Jul 26 08:15:50 GMT 2023","Wed Jul 26 08:15:55 GMT 2023","4994","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Wed Jul 26 08:15:44 GMT 2023","Wed Jul 26 08:15:50 GMT 2023","5984","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"skipped","Wed Jul 26 08:05:08 GMT 2023","Wed Jul 26 08:05:08 GMT 2023","6","[gui] support forms","","","","","[skip-stage] new ticket from project",""
"passed","Wed Jul 26 08:04:42 GMT 2023","Wed Jul 26 08:04:57 GMT 2023","14758","tables","","","","","add table","create table via dashboard API"
"skipped","Wed Jul 26 08:05:08 GMT 2023","Wed Jul 26 08:05:08 GMT 2023","0","[gui] support forms","","","","","contact enterprise sales",""
"passed","Wed Jul 26 08:15:00 GMT 2023","Wed Jul 26 08:15:04 GMT 2023","3379","storage","","","","","upload to bucket","upload to bucket"
"passed","Wed Jul 26 08:15:17 GMT 2023","Wed Jul 26 08:15:24 GMT 2023","6642","storage","","","","","[skip-local] move file in bucket","move file"
"passed","Wed Jul 26 08:16:34 GMT 2023","Wed Jul 26 08:16:36 GMT 2023","2258","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Wed Jul 26 08:15:24 GMT 2023","Wed Jul 26 08:15:32 GMT 2023","8044","storage","","","","","[skip-local] copy file in bucket","copy file"
"skipped","Wed Jul 26 08:17:13 GMT 2023","Wed Jul 26 08:17:13 GMT 2023","1","authentication","","","","","[skip-stage] on auth state changed should return events",""
"skipped","Wed Jul 26 08:16:34 GMT 2023","Wed Jul 26 08:16:34 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 1",""
"passed","Wed Jul 26 08:15:11 GMT 2023","Wed Jul 26 08:15:17 GMT 2023","6724","storage","","","","","download file from bucket","download file"
"passed","Wed Jul 26 08:13:43 GMT 2023","Wed Jul 26 08:13:44 GMT 2023","1028","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"passed","Wed Jul 26 08:05:24 GMT 2023","Wed Jul 26 08:05:25 GMT 2023","620","home","","","","","get project settings","get project settings"
"passed","Wed Jul 26 08:16:27 GMT 2023","Wed Jul 26 08:16:34 GMT 2023","6671","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Wed Jul 26 08:13:41 GMT 2023","Wed Jul 26 08:13:43 GMT 2023","2588","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"passed","Wed Jul 26 08:14:20 GMT 2023","Wed Jul 26 08:14:23 GMT 2023","2722","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Wed Jul 26 08:16:10 GMT 2023","Wed Jul 26 08:16:13 GMT 2023","3196","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Wed Jul 26 08:14:43 GMT 2023","Wed Jul 26 08:14:47 GMT 2023","4102","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Wed Jul 26 08:14:36 GMT 2023","Wed Jul 26 08:14:43 GMT 2023","6636","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Wed Jul 26 08:04:41 GMT 2023","Wed Jul 26 08:04:42 GMT 2023","1728","tables","","","","","get schemas","get schemas list"
"skipped","Wed Jul 26 08:13:51 GMT 2023","Wed Jul 26 08:13:51 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Wed Jul 26 08:16:13 GMT 2023","Wed Jul 26 08:16:19 GMT 2023","5658","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"passed","Wed Jul 26 08:16:06 GMT 2023","Wed Jul 26 08:16:08 GMT 2023","1155","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Wed Jul 26 08:17:06 GMT 2023","Wed Jul 26 08:17:09 GMT 2023","2889","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
