"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 10:06:36 GMT 2023","Fri Aug 25 10:06:37 GMT 2023","1710","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Fri Aug 25 10:05:33 GMT 2023","Fri Aug 25 10:05:34 GMT 2023","648","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Fri Aug 25 10:05:34 GMT 2023","Fri Aug 25 10:05:35 GMT 2023","864","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Fri Aug 25 10:06:27 GMT 2023","Fri Aug 25 10:06:28 GMT 2023","584","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Fri Aug 25 10:05:59 GMT 2023","Fri Aug 25 10:06:09 GMT 2023","9798","realtime","","","","","remove one subscription from client","When you remove one subscription then only events from another have to be returned"
"passed","Fri Aug 25 10:06:27 GMT 2023","Fri Aug 25 10:06:27 GMT 2023","378","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"skipped","Fri Aug 25 10:05:49 GMT 2023","Fri Aug 25 10:05:49 GMT 2023","1","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 2",""
"skipped","Fri Aug 25 10:05:49 GMT 2023","Fri Aug 25 10:05:49 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 1",""
"skipped","Fri Aug 25 10:06:47 GMT 2023","Fri Aug 25 10:06:47 GMT 2023","1","functions","","","","","set auth",""
"passed","Fri Aug 25 10:06:45 GMT 2023","Fri Aug 25 10:06:47 GMT 2023","1637","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Fri Aug 25 10:05:39 GMT 2023","Fri Aug 25 10:05:40 GMT 2023","883","storage","","","","","download file from bucket","download file"
"skipped","Fri Aug 25 10:05:49 GMT 2023","Fri Aug 25 10:05:49 GMT 2023","0","realtime","subscribe on table","","","","subscribe on table 0",""
