"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 20:17:28 GMT 2023","Fri Oct 06 20:17:34 GMT 2023","6110","authentication","","","","","[skip-stage] on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"skipped","Fri Oct 06 20:16:59 GMT 2023","Fri Oct 06 20:16:59 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Fri Oct 06 20:15:04 GMT 2023","Fri Oct 06 20:15:07 GMT 2023","3093","storage","","","","","upload to bucket","upload to bucket"
"passed","Fri Oct 06 20:16:49 GMT 2023","Fri Oct 06 20:16:51 GMT 2023","1687","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","","","","","subscribe from 2 clients",""
"passed","Fri Oct 06 20:17:13 GMT 2023","Fri Oct 06 20:17:15 GMT 2023","2551","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"skipped","Fri Oct 06 20:07:39 GMT 2023","Fri Oct 06 20:07:39 GMT 2023","0","[gui] support forms","","","","","contact enterprise sales",""
"passed","Fri Oct 06 20:17:43 GMT 2023","Fri Oct 06 20:17:47 GMT 2023","4574","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Fri Oct 06 20:14:11 GMT 2023","Fri Oct 06 20:14:13 GMT 2023","1980","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Fri Oct 06 20:17:36 GMT 2023","Fri Oct 06 20:17:37 GMT 2023","1725","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Fri Oct 06 20:06:54 GMT 2023","Fri Oct 06 20:06:54 GMT 2023","620","tables","","","","","get extensions","get extensions list"
"passed","Fri Oct 06 20:17:23 GMT 2023","Fri Oct 06 20:17:26 GMT 2023","2576","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Fri Oct 06 20:07:51 GMT 2023","Fri Oct 06 20:07:51 GMT 2023","335","home","","","","","get projects","get projects list"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 3",""
"passed","Fri Oct 06 20:15:37 GMT 2023","Fri Oct 06 20:15:42 GMT 2023","4099","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Fri Oct 06 20:16:27 GMT 2023","Fri Oct 06 20:16:39 GMT 2023","12117","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"passed","Fri Oct 06 20:17:07 GMT 2023","Fri Oct 06 20:17:11 GMT 2023","4686","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Fri Oct 06 20:15:54 GMT 2023","Fri Oct 06 20:15:57 GMT 2023","3383","realtime","","","","","connect to realtime","When you call ""on"" table then connected realtime client should be returned"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Fri Oct 06 20:15:28 GMT 2023","Fri Oct 06 20:15:32 GMT 2023","4519","storage","","","","","get public link to file","get public link to file in the public bucket"
"skipped","Fri Oct 06 20:17:26 GMT 2023","Fri Oct 06 20:17:26 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"passed","Fri Oct 06 20:07:52 GMT 2023","Fri Oct 06 20:07:53 GMT 2023","1647","home","","","","","get project","get project"
"passed","Fri Oct 06 20:15:07 GMT 2023","Fri Oct 06 20:15:12 GMT 2023","4337","storage","","","","","list files","list files in bucket"
"skipped","Fri Oct 06 20:09:07 GMT 2023","Fri Oct 06 20:09:07 GMT 2023","4","storage","","","","","create storage bucket",""
"skipped","Fri Oct 06 20:14:23 GMT 2023","Fri Oct 06 20:14:23 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","subscribe on table","","","","subscribe on table 0",""
"passed","Fri Oct 06 20:09:04 GMT 2023","Fri Oct 06 20:09:06 GMT 2023","2704","users","","","","","[skip-stage] invite user","invite new user via dashboard api"
"skipped","Fri Oct 06 20:17:20 GMT 2023","Fri Oct 06 20:17:20 GMT 2023","1","authentication","","","","","create new users by phone auth",""
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"passed","Fri Oct 06 20:07:44 GMT 2023","Fri Oct 06 20:07:50 GMT 2023","5285","sql","","","","","create content","create new sql query in editor"
"passed","Fri Oct 06 20:16:01 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","2021","realtime","","","","","get supabase client subscriptions","When you create 2 subs (1 subscribed and 1 not yet) then both should be returned on get subs"
"passed","Fri Oct 06 20:14:30 GMT 2023","Fri Oct 06 20:14:32 GMT 2023","2499","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Fri Oct 06 20:16:42 GMT 2023","Fri Oct 06 20:16:43 GMT 2023","1595","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Fri Oct 06 20:15:16 GMT 2023","Fri Oct 06 20:15:22 GMT 2023","5809","storage","","","","","[skip-local] move file in bucket","move file"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 2",""
"passed","Fri Oct 06 20:17:03 GMT 2023","Fri Oct 06 20:17:07 GMT 2023","3817","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"passed","Fri Oct 06 20:14:52 GMT 2023","Fri Oct 06 20:14:56 GMT 2023","4264","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Fri Oct 06 20:14:18 GMT 2023","Fri Oct 06 20:14:23 GMT 2023","4256","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Fri Oct 06 20:15:22 GMT 2023","Fri Oct 06 20:15:28 GMT 2023","5572","storage","","","","","[skip-local] copy file in bucket","copy file"
"passed","Fri Oct 06 20:14:16 GMT 2023","Fri Oct 06 20:14:17 GMT 2023","935","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","1","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"passed","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:16 GMT 2023","12072","realtime","","","","","unsubscribe from table","When you unsubscribe from table then no events have to be returned"
"passed","Fri Oct 06 20:15:57 GMT 2023","Fri Oct 06 20:16:01 GMT 2023","4009","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"passed","Fri Oct 06 20:17:37 GMT 2023","Fri Oct 06 20:17:40 GMT 2023","2162","postgrest","","","","","select row","User can select his profile from profiles table"
"skipped","Fri Oct 06 20:16:03 GMT 2023","Fri Oct 06 20:16:03 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 3",""
"skipped","Fri Oct 06 20:15:57 GMT 2023","Fri Oct 06 20:15:57 GMT 2023","1","realtime","","","","","[skip-local] receive event when connected to realtime",""
"passed","Fri Oct 06 20:09:01 GMT 2023","Fri Oct 06 20:09:01 GMT 2023","311","api","","","","","get api service","get api service and project info"
"passed","Fri Oct 06 20:16:59 GMT 2023","Fri Oct 06 20:17:01 GMT 2023","1955","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
