"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 20:10:46 GMT 2023","Tue Feb 14 20:10:49 GMT 2023","3429","storage","","","","","get public link to private file","get public link to file in the private bucket"
"passed","Tue Feb 14 20:11:24 GMT 2023","Tue Feb 14 20:11:27 GMT 2023","3037","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"failed","Tue Feb 14 20:05:17 GMT 2023","Tue Feb 14 20:05:18 GMT 2023","1269","storage","","","","","create storage bucket","create new storage bucket via API"
"passed","Tue Feb 14 20:11:39 GMT 2023","Tue Feb 14 20:11:40 GMT 2023","1902","authentication","","","","","create new users by phone auth","When user sign up with phone then he should be logged in"
"passed","Tue Feb 14 20:10:24 GMT 2023","Tue Feb 14 20:10:26 GMT 2023","1774","storage","","","","","upload to bucket","upload to bucket"
"skipped","Tue Feb 14 20:05:14 GMT 2023","Tue Feb 14 20:05:14 GMT 2023","13","users","","","","","[skip-stage] invite user",""
"passed","Tue Feb 14 20:03:32 GMT 2023","Tue Feb 14 20:03:33 GMT 2023","1184","tables","","","","","get schemas","get schemas list"
"passed","Tue Feb 14 20:04:07 GMT 2023","Tue Feb 14 20:04:08 GMT 2023","1670","home","","","","","get project","get project"
"passed","Tue Feb 14 20:11:48 GMT 2023","Tue Feb 14 20:11:50 GMT 2023","1559","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Tue Feb 14 20:11:59 GMT 2023","Tue Feb 14 20:12:01 GMT 2023","1979","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Tue Feb 14 20:10:16 GMT 2023","Tue Feb 14 20:10:18 GMT 2023","1967","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"skipped","Tue Feb 14 20:11:45 GMT 2023","Tue Feb 14 20:11:45 GMT 2023","1","authentication","","","","","update user should update logged in user",""
"passed","Tue Feb 14 20:03:33 GMT 2023","Tue Feb 14 20:03:45 GMT 2023","12078","tables","","","","","add table","create table via dashboard API"
"passed","Tue Feb 14 20:10:34 GMT 2023","Tue Feb 14 20:10:38 GMT 2023","3769","storage","","","","","[skip-local] move file in bucket","move file"
"passed","Tue Feb 14 20:09:40 GMT 2023","Tue Feb 14 20:09:42 GMT 2023","1713","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Tue Feb 14 20:11:33 GMT 2023","Tue Feb 14 20:11:35 GMT 2023","2433","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Tue Feb 14 20:04:14 GMT 2023","Tue Feb 14 20:04:15 GMT 2023","616","api","","","","","get api service","get api service and project info"
"passed","Tue Feb 14 20:12:07 GMT 2023","Tue Feb 14 20:12:09 GMT 2023","2604","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"passed","Tue Feb 14 20:10:26 GMT 2023","Tue Feb 14 20:10:30 GMT 2023","4400","storage","","","","","list files","list files in bucket"
"passed","Tue Feb 14 20:11:22 GMT 2023","Tue Feb 14 20:11:23 GMT 2023","970","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Tue Feb 14 20:09:44 GMT 2023","Tue Feb 14 20:09:45 GMT 2023","451","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"passed","Tue Feb 14 20:10:52 GMT 2023","Tue Feb 14 20:10:56 GMT 2023","4141","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Tue Feb 14 20:10:38 GMT 2023","Tue Feb 14 20:10:43 GMT 2023","4903","storage","","","","","[skip-local] copy file in bucket","copy file"
"passed","Tue Feb 14 20:04:16 GMT 2023","Tue Feb 14 20:05:13 GMT 2023","56851","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Tue Feb 14 20:11:35 GMT 2023","Tue Feb 14 20:11:39 GMT 2023","3207","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Tue Feb 14 20:03:46 GMT 2023","Tue Feb 14 20:03:47 GMT 2023","1228","tables","","","","","get triggers","get triggers list"
"passed","Tue Feb 14 20:11:13 GMT 2023","Tue Feb 14 20:11:15 GMT 2023","2239","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Tue Feb 14 20:09:42 GMT 2023","Tue Feb 14 20:09:44 GMT 2023","2154","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"passed","Tue Feb 14 20:11:18 GMT 2023","Tue Feb 14 20:11:22 GMT 2023","3248","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Tue Feb 14 20:09:58 GMT 2023","Tue Feb 14 20:09:59 GMT 2023","1064","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Tue Feb 14 20:11:45 GMT 2023","Tue Feb 14 20:11:47 GMT 2023","1946","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Tue Feb 14 20:10:14 GMT 2023","Tue Feb 14 20:10:16 GMT 2023","2089","storage","","","","","get bucket","get bucket should return bucket info"
"skipped","Tue Feb 14 20:11:22 GMT 2023","Tue Feb 14 20:11:22 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Tue Feb 14 20:03:48 GMT 2023","Tue Feb 14 20:03:50 GMT 2023","1160","tables","","","","","get publications","get publications list"
"passed","Tue Feb 14 20:11:05 GMT 2023","Tue Feb 14 20:11:07 GMT 2023","1779","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Tue Feb 14 20:03:45 GMT 2023","Tue Feb 14 20:03:46 GMT 2023","1154","tables","","","","","get roles","get roles list"
"passed","Tue Feb 14 20:10:01 GMT 2023","Tue Feb 14 20:10:06 GMT 2023","4408","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Tue Feb 14 20:11:10 GMT 2023","Tue Feb 14 20:11:13 GMT 2023","3467","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"skipped","Tue Feb 14 20:11:22 GMT 2023","Tue Feb 14 20:11:22 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 1",""
"skipped","Tue Feb 14 20:09:50 GMT 2023","Tue Feb 14 20:09:50 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Tue Feb 14 20:03:29 GMT 2023","Tue Feb 14 20:03:32 GMT 2023","3116","tables","","","","","get tables","get tables list"
"passed","Tue Feb 14 20:05:20 GMT 2023","Tue Feb 14 20:05:21 GMT 2023","588","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"skipped","Tue Feb 14 20:11:22 GMT 2023","Tue Feb 14 20:11:22 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Tue Feb 14 20:11:50 GMT 2023","Tue Feb 14 20:11:52 GMT 2023","1943","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Tue Feb 14 20:11:07 GMT 2023","Tue Feb 14 20:11:10 GMT 2023","2361","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"skipped","Tue Feb 14 20:11:47 GMT 2023","Tue Feb 14 20:11:47 GMT 2023","1","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Tue Feb 14 20:10:06 GMT 2023","Tue Feb 14 20:10:08 GMT 2023","2722","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Tue Feb 14 20:11:40 GMT 2023","Tue Feb 14 20:11:43 GMT 2023","2372","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
"skipped","Tue Feb 14 20:12:02 GMT 2023","Tue Feb 14 20:12:02 GMT 2023","5","functions","","","","","set auth",""
"passed","Tue Feb 14 20:12:09 GMT 2023","Tue Feb 14 20:12:12 GMT 2023","2475","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"passed","Tue Feb 14 20:11:43 GMT 2023","Tue Feb 14 20:11:45 GMT 2023","1867","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Tue Feb 14 20:10:56 GMT 2023","Tue Feb 14 20:11:01 GMT 2023","4632","storage","","","","","update file","update file check if it will change"
"passed","Tue Feb 14 20:10:18 GMT 2023","Tue Feb 14 20:10:21 GMT 2023","2612","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"passed","Tue Feb 14 20:10:21 GMT 2023","Tue Feb 14 20:10:24 GMT 2023","3154","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Tue Feb 14 20:04:06 GMT 2023","Tue Feb 14 20:04:07 GMT 2023","848","home","","","","","get project settings","get project settings"
"passed","Tue Feb 14 20:04:05 GMT 2023","Tue Feb 14 20:04:05 GMT 2023","582","home","","","","","get projects","get projects list"
"passed","Tue Feb 14 20:11:05 GMT 2023","Tue Feb 14 20:11:05 GMT 2023","932","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Tue Feb 14 20:11:15 GMT 2023","Tue Feb 14 20:11:18 GMT 2023","3083","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Tue Feb 14 20:09:46 GMT 2023","Tue Feb 14 20:09:50 GMT 2023","3328","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Tue Feb 14 20:03:47 GMT 2023","Tue Feb 14 20:03:48 GMT 2023","1158","tables","","","","","get extensions","get extensions list"
"passed","Tue Feb 14 20:10:30 GMT 2023","Tue Feb 14 20:10:34 GMT 2023","3665","storage","","","","","download file from bucket","download file"
"passed","Tue Feb 14 20:11:23 GMT 2023","Tue Feb 14 20:11:24 GMT 2023","1319","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Tue Feb 14 20:10:49 GMT 2023","Tue Feb 14 20:10:52 GMT 2023","3049","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Tue Feb 14 20:04:05 GMT 2023","Tue Feb 14 20:04:06 GMT 2023","589","home","","","","","get organizations","get organizations list"
"passed","Tue Feb 14 20:10:08 GMT 2023","Tue Feb 14 20:10:14 GMT 2023","6032","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Tue Feb 14 20:09:59 GMT 2023","Tue Feb 14 20:10:01 GMT 2023","2217","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Tue Feb 14 20:03:54 GMT 2023","Tue Feb 14 20:04:03 GMT 2023","9251","sql","","","","","create content","create new sql query in editor"
"passed","Tue Feb 14 20:11:54 GMT 2023","Tue Feb 14 20:11:58 GMT 2023","3265","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Tue Feb 14 20:09:39 GMT 2023","Tue Feb 14 20:09:40 GMT 2023","948","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Tue Feb 14 20:12:03 GMT 2023","Tue Feb 14 20:12:07 GMT 2023","3573","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"passed","Tue Feb 14 20:10:43 GMT 2023","Tue Feb 14 20:10:46 GMT 2023","2939","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Tue Feb 14 20:11:52 GMT 2023","Tue Feb 14 20:11:54 GMT 2023","2742","postgrest","","","","","update row","User can update his profile in profiles table"
"passed","Tue Feb 14 20:04:08 GMT 2023","Tue Feb 14 20:04:12 GMT 2023","3708","home","","","","","supabase auth is working in project","check supabase clients works correctly"
"passed","Tue Feb 14 20:11:27 GMT 2023","Tue Feb 14 20:11:31 GMT 2023","4416","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
