"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 12:19:48 GMT 2024","Thu Jan 18 12:19:56 GMT 2024","7234","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Thu Jan 18 12:19:01 GMT 2024","Thu Jan 18 12:19:05 GMT 2024","3783","storage","","","","","upload to bucket","upload to bucket"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Thu Jan 18 12:21:24 GMT 2024","Thu Jan 18 12:21:26 GMT 2024","1047","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Thu Jan 18 12:20:22 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","2143","realtime","","","","","get supabase client subscriptions","When you create 2 subs (1 subscribed and 1 not yet) then both should be returned on get subs"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"passed","Thu Jan 18 12:20:18 GMT 2024","Thu Jan 18 12:20:22 GMT 2024","4032","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"passed","Thu Jan 18 12:08:28 GMT 2024","Thu Jan 18 12:08:29 GMT 2024","331","api","","","","","get api service","get api service and project info"
"passed","Thu Jan 18 12:08:17 GMT 2024","Thu Jan 18 12:08:18 GMT 2024","382","tables","","","","","get extensions","get extensions list"
"passed","Thu Jan 18 12:21:51 GMT 2024","Thu Jan 18 12:21:54 GMT 2024","3061","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Thu Jan 18 12:18:30 GMT 2024","Thu Jan 18 12:18:37 GMT 2024","6143","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Thu Jan 18 12:08:11 GMT 2024","Thu Jan 18 12:08:12 GMT 2024","364","tables","","","","","get schemas","get schemas list"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 3",""
"passed","Thu Jan 18 12:08:36 GMT 2024","Thu Jan 18 12:08:36 GMT 2024","331","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"skipped","Thu Jan 18 12:21:54 GMT 2024","Thu Jan 18 12:21:54 GMT 2024","0","authentication","","","","","update user should update logged in user",""
"passed","Thu Jan 18 12:18:13 GMT 2024","Thu Jan 18 12:18:14 GMT 2024","963","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on table","","","","subscribe on table 3",""
"passed","Thu Jan 18 12:20:49 GMT 2024","Thu Jan 18 12:21:01 GMT 2024","12105","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on table","","","","subscribe on table 0",""
"passed","Thu Jan 18 12:18:19 GMT 2024","Thu Jan 18 12:18:21 GMT 2024","2700","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Thu Jan 18 12:21:42 GMT 2024","Thu Jan 18 12:21:47 GMT 2024","5570","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","1","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"passed","Thu Jan 18 12:08:19 GMT 2024","Thu Jan 18 12:08:20 GMT 2024","307","home","","","","","get projects","get projects list"
"skipped","Thu Jan 18 12:20:25 GMT 2024","Thu Jan 18 12:20:25 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 0",""
"passed","Thu Jan 18 12:18:43 GMT 2024","Thu Jan 18 12:18:46 GMT 2024","3352","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Thu Jan 18 12:19:36 GMT 2024","Thu Jan 18 12:19:42 GMT 2024","6224","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Thu Jan 18 12:08:10 GMT 2024","Thu Jan 18 12:08:11 GMT 2024","981","tables","","","","","get tables","get tables list"
