"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 22:05:38 GMT 2023","Sun Aug 13 22:05:39 GMT 2023","525","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Sun Aug 13 22:04:46 GMT 2023","Sun Aug 13 22:04:47 GMT 2023","885","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Sun Aug 13 22:04:33 GMT 2023","Sun Aug 13 22:04:34 GMT 2023","446","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"skipped","Sun Aug 13 22:04:51 GMT 2023","Sun Aug 13 22:04:51 GMT 2023","0","realtime","","","","","[skip-local] receive event when connected to realtime",""
"passed","Sun Aug 13 22:04:36 GMT 2023","Sun Aug 13 22:04:37 GMT 2023","1096","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Sun Aug 13 22:05:32 GMT 2023","Sun Aug 13 22:05:33 GMT 2023","586","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Sun Aug 13 22:05:32 GMT 2023","Sun Aug 13 22:05:32 GMT 2023","367","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Sun Aug 13 22:05:34 GMT 2023","Sun Aug 13 22:05:35 GMT 2023","792","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"skipped","Sun Aug 13 22:05:38 GMT 2023","Sun Aug 13 22:05:38 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Sun Aug 13 22:04:41 GMT 2023","Sun Aug 13 22:04:43 GMT 2023","1248","storage","","","","","list files","list files in bucket"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 1",""
"passed","Sun Aug 13 22:05:33 GMT 2023","Sun Aug 13 22:05:33 GMT 2023","632","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Sun Aug 13 22:04:51 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1891","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 2",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","multiple subscriptions","","","","multiple subscriptions 2",""
"passed","Sun Aug 13 22:04:41 GMT 2023","Sun Aug 13 22:04:41 GMT 2023","673","storage","","","","","upload to bucket","upload to bucket"
"passed","Sun Aug 13 22:05:29 GMT 2023","Sun Aug 13 22:05:30 GMT 2023","1020","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Sun Aug 13 22:05:36 GMT 2023","Sun Aug 13 22:05:38 GMT 2023","1495","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 1",""
"passed","Sun Aug 13 22:05:53 GMT 2023","Sun Aug 13 22:05:54 GMT 2023","1024","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table","","","","subscribe on table 2",""
"passed","Sun Aug 13 22:05:35 GMT 2023","Sun Aug 13 22:05:36 GMT 2023","1205","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Sun Aug 13 22:04:45 GMT 2023","Sun Aug 13 22:04:46 GMT 2023","914","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Sun Aug 13 22:05:28 GMT 2023","Sun Aug 13 22:05:29 GMT 2023","845","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Sun Aug 13 22:04:43 GMT 2023","Sun Aug 13 22:04:43 GMT 2023","884","storage","","","","","download file from bucket","download file"
"passed","Sun Aug 13 22:05:39 GMT 2023","Sun Aug 13 22:05:40 GMT 2023","1138","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"passed","Sun Aug 13 22:05:33 GMT 2023","Sun Aug 13 22:05:34 GMT 2023","1209","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"passed","Sun Aug 13 22:05:13 GMT 2023","Sun Aug 13 22:05:23 GMT 2023","9871","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"passed","Sun Aug 13 22:04:44 GMT 2023","Sun Aug 13 22:04:45 GMT 2023","674","storage","","","","","get public link to private file","get public link to file in the private bucket"
"skipped","Sun Aug 13 22:04:43 GMT 2023","Sun Aug 13 22:04:43 GMT 2023","0","storage","","","","","[skip-local] move file in bucket",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 0",""
"passed","Sun Aug 13 22:05:47 GMT 2023","Sun Aug 13 22:05:48 GMT 2023","1010","postgrest","","","","","select row","User can select his profile from profiles table"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 1",""
"skipped","Sun Aug 13 22:05:27 GMT 2023","Sun Aug 13 22:05:27 GMT 2023","0","authentication","","","","","create new users by phone auth",""
"passed","Sun Aug 13 22:05:43 GMT 2023","Sun Aug 13 22:05:44 GMT 2023","1076","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"passed","Sun Aug 13 22:05:03 GMT 2023","Sun Aug 13 22:05:13 GMT 2023","9811","realtime","","","","","remove one subscription from client","When you remove one subscription then only events from another have to be returned"
"passed","Sun Aug 13 22:04:37 GMT 2023","Sun Aug 13 22:04:38 GMT 2023","654","storage","","","","","get bucket","get bucket should return bucket info"
"skipped","Sun Aug 13 22:05:52 GMT 2023","Sun Aug 13 22:05:52 GMT 2023","2","functions","","","","","set auth",""
"passed","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:05:03 GMT 2023","9867","realtime","","","","","unsubscribe from table","When you unsubscribe from table then no events have to be returned"
"passed","Sun Aug 13 22:04:33 GMT 2023","Sun Aug 13 22:04:33 GMT 2023","514","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Sun Aug 13 22:04:39 GMT 2023","Sun Aug 13 22:04:40 GMT 2023","866","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","","","","","subscribe from 2 clients",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
"passed","Sun Aug 13 22:05:40 GMT 2023","Sun Aug 13 22:05:42 GMT 2023","1708","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 3",""
"passed","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","589","realtime","","","","","get supabase client subscriptions","When you create 2 subs (1 subscribed and 1 not yet) then both should be returned on get subs"
"passed","Sun Aug 13 22:05:44 GMT 2023","Sun Aug 13 22:05:45 GMT 2023","1043","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"passed","Sun Aug 13 22:05:45 GMT 2023","Sun Aug 13 22:05:46 GMT 2023","1026","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"passed","Sun Aug 13 22:05:30 GMT 2023","Sun Aug 13 22:05:31 GMT 2023","1108","authentication","","","","","[skip-stage] on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"skipped","Sun Aug 13 22:05:38 GMT 2023","Sun Aug 13 22:05:38 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Sun Aug 13 22:05:50 GMT 2023","Sun Aug 13 22:05:51 GMT 2023","1647","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Sun Aug 13 22:04:35 GMT 2023","Sun Aug 13 22:04:36 GMT 2023","1240","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 2",""
"passed","Sun Aug 13 22:04:38 GMT 2023","Sun Aug 13 22:04:39 GMT 2023","870","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Sun Aug 13 22:04:47 GMT 2023","Sun Aug 13 22:04:48 GMT 2023","903","storage","","","","","update file","update file check if it will change"
"passed","Sun Aug 13 22:04:40 GMT 2023","Sun Aug 13 22:04:41 GMT 2023","891","storage","","","","","delete bucket","get bucket should return bucket info"
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","multiple subscriptions","","","","multiple subscriptions 0",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","subscribe on table","","","","subscribe on table 0",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","subscribe on table","","","","subscribe on table 3",""
"skipped","Sun Aug 13 22:05:29 GMT 2023","Sun Aug 13 22:05:29 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 2",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Sun Aug 13 22:04:34 GMT 2023","Sun Aug 13 22:04:35 GMT 2023","1342","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"skipped","Sun Aug 13 22:05:38 GMT 2023","Sun Aug 13 22:05:38 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 1",""
"skipped","Sun Aug 13 22:04:53 GMT 2023","Sun Aug 13 22:04:53 GMT 2023","1","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 3",""
