"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Dec 17 20:10:50 GMT 2023","Sun Dec 17 20:10:50 GMT 2023","0","triggers","","","","","triggers work only once after pause/resume",""
"passed","Sun Dec 17 20:11:10 GMT 2023","Sun Dec 17 20:11:15 GMT 2023","4613","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Sun Dec 17 20:10:47 GMT 2023","Sun Dec 17 20:10:50 GMT 2023","3852","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"skipped","Sun Dec 17 20:13:37 GMT 2023","Sun Dec 17 20:13:37 GMT 2023","4","functions","","","","","set auth",""
"passed","Sun Dec 17 20:11:53 GMT 2023","Sun Dec 17 20:11:58 GMT 2023","4558","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Sun Dec 17 20:12:39 GMT 2023","Sun Dec 17 20:12:41 GMT 2023","1711","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Sun Dec 17 20:12:31 GMT 2023","Sun Dec 17 20:12:34 GMT 2023","3921","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Sun Dec 17 20:04:09 GMT 2023","Sun Dec 17 20:04:09 GMT 2023","621","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"passed","Sun Dec 17 20:03:54 GMT 2023","Sun Dec 17 20:03:56 GMT 2023","1326","home","","","","","get projects","get projects list"
"passed","Sun Dec 17 20:03:57 GMT 2023","Sun Dec 17 20:03:58 GMT 2023","1262","home","","","","","get project","get project"
"passed","Sun Dec 17 20:10:48 GMT 2023","Sun Dec 17 20:10:49 GMT 2023","1730","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Sun Dec 17 20:11:15 GMT 2023","Sun Dec 17 20:11:18 GMT 2023","3053","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Sun Dec 17 20:12:24 GMT 2023","Sun Dec 17 20:12:28 GMT 2023","3924","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"skipped","Sun Dec 17 20:12:39 GMT 2023","Sun Dec 17 20:12:39 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Sun Dec 17 20:13:06 GMT 2023","Sun Dec 17 20:13:09 GMT 2023","2517","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"skipped","Sun Dec 17 20:03:53 GMT 2023","Sun Dec 17 20:03:53 GMT 2023","5","forms","","","","","[skip-stage] exit surveys",""
"passed","Sun Dec 17 20:11:18 GMT 2023","Sun Dec 17 20:11:22 GMT 2023","3584","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Sun Dec 17 20:03:58 GMT 2023","Sun Dec 17 20:04:02 GMT 2023","3766","home","","","","","supabase auth is working in project","check supabase clients works correctly"
"skipped","Sun Dec 17 20:13:06 GMT 2023","Sun Dec 17 20:13:06 GMT 2023","1","authentication","","","","","update user should update logged in user",""
"passed","Sun Dec 17 20:13:29 GMT 2023","Sun Dec 17 20:13:33 GMT 2023","3528","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Sun Dec 17 20:10:49 GMT 2023","Sun Dec 17 20:10:51 GMT 2023","1968","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"skipped","Sun Dec 17 20:03:53 GMT 2023","Sun Dec 17 20:03:53 GMT 2023","0","forms","","","","","[skip-stage] product feedback submissions",""
"passed","Sun Dec 17 20:12:42 GMT 2023","Sun Dec 17 20:12:47 GMT 2023","4207","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"passed","Sun Dec 17 20:03:56 GMT 2023","Sun Dec 17 20:03:56 GMT 2023","689","home","","","","","get organizations","get organizations list"
"passed","Sun Dec 17 20:12:34 GMT 2023","Sun Dec 17 20:12:39 GMT 2023","4790","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Sun Dec 17 20:13:04 GMT 2023","Sun Dec 17 20:13:06 GMT 2023","2244","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Sun Dec 17 20:13:17 GMT 2023","Sun Dec 17 20:13:21 GMT 2023","3274","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"passed","Sun Dec 17 20:10:59 GMT 2023","Sun Dec 17 20:11:01 GMT 2023","1555","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"skipped","Sun Dec 17 20:12:39 GMT 2023","Sun Dec 17 20:12:39 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 1",""
"passed","Sun Dec 17 20:11:41 GMT 2023","Sun Dec 17 20:11:47 GMT 2023","5701","storage","","","","","[skip-local] move file in bucket","move file"
"passed","Sun Dec 17 20:11:01 GMT 2023","Sun Dec 17 20:11:05 GMT 2023","4629","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Sun Dec 17 20:13:33 GMT 2023","Sun Dec 17 20:13:36 GMT 2023","2726","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Sun Dec 17 20:12:19 GMT 2023","Sun Dec 17 20:12:20 GMT 2023","939","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Sun Dec 17 20:11:22 GMT 2023","Sun Dec 17 20:11:25 GMT 2023","3584","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"skipped","Sun Dec 17 20:04:07 GMT 2023","Sun Dec 17 20:04:07 GMT 2023","3","storage","","","","","create storage bucket",""
"passed","Sun Dec 17 20:10:47 GMT 2023","Sun Dec 17 20:10:48 GMT 2023","1133","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Sun Dec 17 20:12:21 GMT 2023","Sun Dec 17 20:12:24 GMT 2023","2449","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Sun Dec 17 20:13:00 GMT 2023","Sun Dec 17 20:13:04 GMT 2023","3892","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
