"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 20:16:24 GMT 2023","Sun Jun 25 20:16:25 GMT 2023","1738","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Sun Jun 25 20:14:30 GMT 2023","Sun Jun 25 20:14:37 GMT 2023","6460","storage","","","","","delete bucket","get bucket should return bucket info"
"failed","Sun Jun 25 20:04:52 GMT 2023","Sun Jun 25 20:04:57 GMT 2023","5005","home","","","","","get organizations","get organizations list"
"passed","Sun Jun 25 20:16:31 GMT 2023","Sun Jun 25 20:16:39 GMT 2023","7888","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Sun Jun 25 20:16:25 GMT 2023","Sun Jun 25 20:16:31 GMT 2023","5533","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"failed","Sun Jun 25 20:04:07 GMT 2023","Sun Jun 25 20:04:10 GMT 2023","2959","tables","","","","","add table","create table via dashboard API"
"passed","Sun Jun 25 20:17:05 GMT 2023","Sun Jun 25 20:17:08 GMT 2023","2476","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Sun Jun 25 20:16:58 GMT 2023","Sun Jun 25 20:17:01 GMT 2023","2999","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Sun Jun 25 20:15:52 GMT 2023","Sun Jun 25 20:15:54 GMT 2023","1207","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Sun Jun 25 20:15:15 GMT 2023","Sun Jun 25 20:15:21 GMT 2023","6111","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Sun Jun 25 20:16:40 GMT 2023","Sun Jun 25 20:16:43 GMT 2023","3077","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Sun Jun 25 20:13:50 GMT 2023","Sun Jun 25 20:13:54 GMT 2023","3502","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"skipped","Sun Jun 25 20:16:21 GMT 2023","Sun Jun 25 20:16:21 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Sun Jun 25 20:14:37 GMT 2023","Sun Jun 25 20:14:41 GMT 2023","4454","storage","","","","","upload to bucket","upload to bucket"
"passed","Sun Jun 25 20:13:38 GMT 2023","Sun Jun 25 20:13:43 GMT 2023","5070","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Sun Jun 25 20:14:09 GMT 2023","Sun Jun 25 20:14:15 GMT 2023","5447","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Sun Jun 25 20:13:33 GMT 2023","Sun Jun 25 20:13:36 GMT 2023","2989","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"skipped","Sun Jun 25 20:17:04 GMT 2023","Sun Jun 25 20:17:04 GMT 2023","1","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Sun Jun 25 20:15:28 GMT 2023","Sun Jun 25 20:15:34 GMT 2023","6273","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Sun Jun 25 20:14:19 GMT 2023","Sun Jun 25 20:14:25 GMT 2023","5804","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Sun Jun 25 20:15:54 GMT 2023","Sun Jun 25 20:15:56 GMT 2023","2861","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"passed","Sun Jun 25 20:16:09 GMT 2023","Sun Jun 25 20:16:15 GMT 2023","5705","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Sun Jun 25 20:13:54 GMT 2023","Sun Jun 25 20:13:56 GMT 2023","2895","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"skipped","Sun Jun 25 20:09:44 GMT 2023","Sun Jun 25 20:09:44 GMT 2023","5","functions","","","","","set auth",""
"passed","Sun Jun 25 20:14:56 GMT 2023","Sun Jun 25 20:15:05 GMT 2023","8969","storage","","","","","[skip-local] move file in bucket","move file"
"passed","Sun Jun 25 20:14:25 GMT 2023","Sun Jun 25 20:14:30 GMT 2023","5667","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
