"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 19 04:42:10 GMT 2023","Thu Oct 19 04:42:10 GMT 2023","4","[gui] support forms","","","","","[skip-stage] new ticket from project",""
"passed","Thu Oct 19 04:49:50 GMT 2023","Thu Oct 19 04:49:54 GMT 2023","4803","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Thu Oct 19 04:49:45 GMT 2023","Thu Oct 19 04:49:50 GMT 2023","4771","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"passed","Thu Oct 19 04:51:10 GMT 2023","Thu Oct 19 04:51:15 GMT 2023","4597","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Thu Oct 19 04:52:09 GMT 2023","Thu Oct 19 04:52:11 GMT 2023","2603","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Thu Oct 19 04:49:40 GMT 2023","Thu Oct 19 04:49:45 GMT 2023","4817","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"skipped","Thu Oct 19 04:49:09 GMT 2023","Thu Oct 19 04:49:09 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Thu Oct 19 04:51:43 GMT 2023","Thu Oct 19 04:51:46 GMT 2023","3555","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Thu Oct 19 04:42:33 GMT 2023","Thu Oct 19 04:44:20 GMT 2023","106926","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Thu Oct 19 04:49:26 GMT 2023","Thu Oct 19 04:49:32 GMT 2023","5281","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Thu Oct 19 04:48:57 GMT 2023","Thu Oct 19 04:48:58 GMT 2023","1101","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Thu Oct 19 04:49:36 GMT 2023","Thu Oct 19 04:49:40 GMT 2023","3679","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Thu Oct 19 04:51:22 GMT 2023","Thu Oct 19 04:51:29 GMT 2023","6497","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Thu Oct 19 04:50:41 GMT 2023","Thu Oct 19 04:50:48 GMT 2023","7013","storage","","","","","update file","update file check if it will change"
"skipped","Thu Oct 19 04:52:05 GMT 2023","Thu Oct 19 04:52:05 GMT 2023","4","functions","","","","","set auth",""
"skipped","Thu Oct 19 04:51:46 GMT 2023","Thu Oct 19 04:51:46 GMT 2023","1","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Thu Oct 19 04:50:26 GMT 2023","Thu Oct 19 04:50:31 GMT 2023","4328","storage","","","","","get public link to private file","get public link to file in the private bucket"
"skipped","Thu Oct 19 04:51:15 GMT 2023","Thu Oct 19 04:51:15 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Thu Oct 19 04:51:02 GMT 2023","Thu Oct 19 04:51:05 GMT 2023","3036","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Thu Oct 19 04:49:18 GMT 2023","Thu Oct 19 04:49:21 GMT 2023","2391","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Thu Oct 19 04:44:23 GMT 2023","Thu Oct 19 04:44:23 GMT 2023","817","api","","","","","get api service","get api service and project info"
"passed","Thu Oct 19 04:49:00 GMT 2023","Thu Oct 19 04:49:03 GMT 2023","2265","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"passed","Thu Oct 19 04:49:54 GMT 2023","Thu Oct 19 04:49:58 GMT 2023","3706","storage","","","","","upload to bucket","upload to bucket"
