"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 20:13:24 GMT 2023","Mon Sep 18 20:13:31 GMT 2023","6729","storage","","","","","download file from bucket","download file"
"passed","Mon Sep 18 20:13:08 GMT 2023","Mon Sep 18 20:13:13 GMT 2023","4658","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Mon Sep 18 20:12:16 GMT 2023","Mon Sep 18 20:12:17 GMT 2023","1093","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"skipped","Mon Sep 18 20:12:23 GMT 2023","Mon Sep 18 20:12:23 GMT 2023","0","triggers","","","","","triggers work only once after pause/resume",""
"passed","Mon Sep 18 20:14:07 GMT 2023","Mon Sep 18 20:14:14 GMT 2023","6776","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Mon Sep 18 20:15:35 GMT 2023","Mon Sep 18 20:15:39 GMT 2023","4076","postgrest","","","","","select row","User can select his profile from profiles table"
"passed","Mon Sep 18 20:12:19 GMT 2023","Mon Sep 18 20:12:23 GMT 2023","4370","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Mon Sep 18 20:14:00 GMT 2023","Mon Sep 18 20:14:07 GMT 2023","6833","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Mon Sep 18 20:04:18 GMT 2023","Mon Sep 18 20:04:25 GMT 2023","6828","sql","","","","","create content","create new sql query in editor"
"passed","Mon Sep 18 20:15:39 GMT 2023","Mon Sep 18 20:15:45 GMT 2023","5583","postgrest","","","","","update row","User can update his profile in profiles table"
"skipped","Mon Sep 18 20:05:46 GMT 2023","Mon Sep 18 20:05:46 GMT 2023","5","storage","","","","","create storage bucket",""
"passed","Mon Sep 18 20:13:47 GMT 2023","Mon Sep 18 20:13:54 GMT 2023","6958","storage","","","","","get public link to file","get public link to file in the public bucket"
"skipped","Mon Sep 18 20:14:54 GMT 2023","Mon Sep 18 20:14:54 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 1",""
"passed","Mon Sep 18 20:04:29 GMT 2023","Mon Sep 18 20:04:33 GMT 2023","3961","home","","","","","supabase auth is working in project","check supabase clients works correctly"
"passed","Mon Sep 18 20:15:59 GMT 2023","Mon Sep 18 20:16:03 GMT 2023","4174","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"passed","Mon Sep 18 20:14:58 GMT 2023","Mon Sep 18 20:15:02 GMT 2023","4865","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"skipped","Mon Sep 18 20:14:54 GMT 2023","Mon Sep 18 20:14:54 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Mon Sep 18 20:14:54 GMT 2023","Mon Sep 18 20:14:56 GMT 2023","1701","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"skipped","Mon Sep 18 20:16:15 GMT 2023","Mon Sep 18 20:16:15 GMT 2023","4","functions","","","","","set auth",""
"passed","Mon Sep 18 20:15:45 GMT 2023","Mon Sep 18 20:15:52 GMT 2023","6918","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Mon Sep 18 20:15:24 GMT 2023","Mon Sep 18 20:15:26 GMT 2023","2306","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Mon Sep 18 20:13:39 GMT 2023","Mon Sep 18 20:13:47 GMT 2023","8809","storage","","","","","[skip-local] copy file in bucket","copy file"
"passed","Mon Sep 18 20:14:33 GMT 2023","Mon Sep 18 20:14:38 GMT 2023","5557","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"passed","Mon Sep 18 20:12:32 GMT 2023","Mon Sep 18 20:12:35 GMT 2023","3008","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Mon Sep 18 20:16:09 GMT 2023","Mon Sep 18 20:16:13 GMT 2023","4019","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Mon Sep 18 20:04:26 GMT 2023","Mon Sep 18 20:04:27 GMT 2023","1048","home","","","","","get projects","get projects list"
"passed","Mon Sep 18 20:05:48 GMT 2023","Mon Sep 18 20:05:48 GMT 2023","545","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"passed","Mon Sep 18 20:12:10 GMT 2023","Mon Sep 18 20:12:11 GMT 2023","1219","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Mon Sep 18 20:14:38 GMT 2023","Mon Sep 18 20:14:42 GMT 2023","3330","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Mon Sep 18 20:04:12 GMT 2023","Mon Sep 18 20:04:13 GMT 2023","1101","tables","","","","","get publications","get publications list"
"skipped","Mon Sep 18 20:04:15 GMT 2023","Mon Sep 18 20:04:15 GMT 2023","4","[gui] support forms","","","","","[skip-stage] new ticket from project",""
"passed","Mon Sep 18 20:12:11 GMT 2023","Mon Sep 18 20:12:13 GMT 2023","2376","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Mon Sep 18 20:05:43 GMT 2023","Mon Sep 18 20:05:43 GMT 2023","789","api","","","","","get api service","get api service and project info"
"passed","Mon Sep 18 20:14:14 GMT 2023","Mon Sep 18 20:14:22 GMT 2023","8065","storage","","","","","update file","update file check if it will change"
"passed","Mon Sep 18 20:12:30 GMT 2023","Mon Sep 18 20:12:32 GMT 2023","2827","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Mon Sep 18 20:13:54 GMT 2023","Mon Sep 18 20:14:00 GMT 2023","5651","storage","","","","","get public link to private file","get public link to file in the private bucket"
"passed","Mon Sep 18 20:15:13 GMT 2023","Mon Sep 18 20:15:19 GMT 2023","6138","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Mon Sep 18 20:03:53 GMT 2023","Mon Sep 18 20:03:55 GMT 2023","1513","tables","","","","","get tables","get tables list"
"passed","Mon Sep 18 20:03:55 GMT 2023","Mon Sep 18 20:03:56 GMT 2023","1036","tables","","","","","get schemas","get schemas list"
"passed","Mon Sep 18 20:12:35 GMT 2023","Mon Sep 18 20:12:42 GMT 2023","6526","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Mon Sep 18 20:04:08 GMT 2023","Mon Sep 18 20:04:09 GMT 2023","1142","tables","","","","","get roles","get roles list"
"passed","Mon Sep 18 20:14:27 GMT 2023","Mon Sep 18 20:14:29 GMT 2023","2374","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"skipped","Mon Sep 18 20:15:31 GMT 2023","Mon Sep 18 20:15:31 GMT 2023","0","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Mon Sep 18 20:12:13 GMT 2023","Mon Sep 18 20:12:16 GMT 2023","2666","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
