"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Oct 14 12:10:41 GMT 2023","Sat Oct 14 12:10:41 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 2",""
"passed","Sat Oct 14 12:12:00 GMT 2023","Sat Oct 14 12:12:03 GMT 2023","2770","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Sat Oct 14 12:13:11 GMT 2023","Sat Oct 14 12:13:15 GMT 2023","3925","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Sat Oct 14 12:09:01 GMT 2023","Sat Oct 14 12:09:07 GMT 2023","5823","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Sat Oct 14 12:10:39 GMT 2023","Sat Oct 14 12:10:41 GMT 2023","2281","realtime","","","","","get supabase client subscriptions","When you create 2 subs (1 subscribed and 1 not yet) then both should be returned on get subs"
"passed","Sat Oct 14 12:11:50 GMT 2023","Sat Oct 14 12:11:52 GMT 2023","2317","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"skipped","Sat Oct 14 12:10:41 GMT 2023","Sat Oct 14 12:10:41 GMT 2023","0","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"passed","Sat Oct 14 12:08:49 GMT 2023","Sat Oct 14 12:08:57 GMT 2023","7371","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Sat Oct 14 12:12:15 GMT 2023","Sat Oct 14 12:12:17 GMT 2023","2205","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Sat Oct 14 12:09:20 GMT 2023","Sat Oct 14 12:09:28 GMT 2023","7121","storage","","","","","list files","list files in bucket"
"passed","Sat Oct 14 12:11:52 GMT 2023","Sat Oct 14 12:11:55 GMT 2023","2702","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"skipped","Sat Oct 14 12:10:41 GMT 2023","Sat Oct 14 12:10:41 GMT 2023","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"passed","Sat Oct 14 12:09:12 GMT 2023","Sat Oct 14 12:09:16 GMT 2023","4021","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Sat Oct 14 12:12:17 GMT 2023","Sat Oct 14 12:12:19 GMT 2023","2226","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Sat Oct 14 12:10:31 GMT 2023","Sat Oct 14 12:10:34 GMT 2023","3419","realtime","","","","","connect to realtime","When you call ""on"" table then connected realtime client should be returned"
"skipped","Sat Oct 14 12:10:41 GMT 2023","Sat Oct 14 12:10:41 GMT 2023","0","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 0",""
