"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 19:07:27 GMT 2022","Fri Dec 30 19:07:28 GMT 2022","1511","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Fri Dec 30 19:05:35 GMT 2022","Fri Dec 30 19:05:37 GMT 2022","2461","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Fri Dec 30 19:05:45 GMT 2022","Fri Dec 30 19:05:47 GMT 2022","1684","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Fri Dec 30 19:05:42 GMT 2022","Fri Dec 30 19:05:45 GMT 2022","3161","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Fri Dec 30 19:05:37 GMT 2022","Fri Dec 30 19:05:42 GMT 2022","4526","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Fri Dec 30 19:05:05 GMT 2022","Fri Dec 30 19:05:05 GMT 2022","158","api","","","","","get api service","get api service and project info"
"passed","Fri Dec 30 19:07:43 GMT 2022","Fri Dec 30 19:07:44 GMT 2022","1120","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Fri Dec 30 19:04:53 GMT 2022","Fri Dec 30 19:04:59 GMT 2022","5571","sql","","","","","create content","create new sql query in editor"
"passed","Fri Dec 30 19:07:09 GMT 2022","Fri Dec 30 19:07:10 GMT 2022","1902","authentication","","","","","create new users by phone auth","When user sign up with phone then he should be logged in"
"passed","Fri Dec 30 19:06:17 GMT 2022","Fri Dec 30 19:06:21 GMT 2022","4462","storage","","","","","update file","update file check if it will change"
"skipped","Fri Dec 30 19:07:14 GMT 2022","Fri Dec 30 19:07:14 GMT 2022","0","authentication","","","","","update user should update logged in user",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on table","","","","subscribe on table 3",""
"passed","Fri Dec 30 19:04:50 GMT 2022","Fri Dec 30 19:04:51 GMT 2022","461","tables","","","","","get extensions","get extensions list"
"passed","Fri Dec 30 19:06:52 GMT 2022","Fri Dec 30 19:07:03 GMT 2022","11043","realtime","","","","","remove all subscriptions from client","When you remove all subscription then no events have to be returned"
"skipped","Fri Dec 30 19:06:27 GMT 2022","Fri Dec 30 19:06:27 GMT 2022","0","realtime","","","","","[skip-local] receive event when connected to realtime",""
"passed","Fri Dec 30 19:07:06 GMT 2022","Fri Dec 30 19:07:09 GMT 2022","2491","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Fri Dec 30 19:05:01 GMT 2022","Fri Dec 30 19:05:01 GMT 2022","117","home","","","","","get organizations","get organizations list"
"passed","Fri Dec 30 19:06:16 GMT 2022","Fri Dec 30 19:06:18 GMT 2022","1876","users","","","","","[skip-stage] invite user","invite new user via dashboard api"
"passed","Fri Dec 30 19:05:27 GMT 2022","Fri Dec 30 19:05:29 GMT 2022","2681","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Fri Dec 30 19:06:25 GMT 2022","Fri Dec 30 19:06:27 GMT 2022","2550","realtime","","","","","connect to realtime","When you call ""on"" table then connected realtime client should be returned"
"skipped","Fri Dec 30 19:07:51 GMT 2022","Fri Dec 30 19:07:51 GMT 2022","5","functions","","","","","set auth",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 2",""
"passed","Fri Dec 30 19:07:25 GMT 2022","Fri Dec 30 19:07:26 GMT 2022","1090","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on table","","","","subscribe on table 2",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on table with RLS","","","","subscribe on table with RLS 0",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","","","","","subscribe from 2 clients",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","1","realtime","subscribe on table with RLS policies","","","","subscribe on table with RLS policies 3",""
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 0",""
"passed","Fri Dec 30 19:07:10 GMT 2022","Fri Dec 30 19:07:13 GMT 2022","2229","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
"passed","Fri Dec 30 19:05:51 GMT 2022","Fri Dec 30 19:05:54 GMT 2022","2736","storage","","","","","list files","list files in bucket"
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 1",""
"passed","Fri Dec 30 19:07:04 GMT 2022","Fri Dec 30 19:07:06 GMT 2022","1957","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Fri Dec 30 19:05:01 GMT 2022","Fri Dec 30 19:05:01 GMT 2022","167","home","","","","","get project settings","get project settings"
"passed","Fri Dec 30 19:07:28 GMT 2022","Fri Dec 30 19:07:29 GMT 2022","1138","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Fri Dec 30 19:05:07 GMT 2022","Fri Dec 30 19:06:14 GMT 2022","66596","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Fri Dec 30 19:06:27 GMT 2022","Fri Dec 30 19:06:30 GMT 2022","2550","realtime","","","","","you should get no events until subscribe","When you call ""on"" table but not subscribe then no events have to be returned"
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","subscribe on table","","","","subscribe on table 0",""
"passed","Fri Dec 30 19:07:44 GMT 2022","Fri Dec 30 19:07:46 GMT 2022","1907","postgrest","","","","","select row","User can select his profile from profiles table"
"skipped","Fri Dec 30 19:06:31 GMT 2022","Fri Dec 30 19:06:31 GMT 2022","0","realtime","multiple subscriptions","","","","multiple subscriptions 1",""
"passed","Fri Dec 30 19:04:43 GMT 2022","Fri Dec 30 19:04:43 GMT 2022","556","tables","","","","","get schemas","get schemas list"
