"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 02 03:19:13 GMT 2023","Thu Nov 02 03:19:13 GMT 2023","0","authentication","","","","","update user should update logged in user",""
"failed","Thu Nov 02 03:10:31 GMT 2023","Thu Nov 02 03:11:06 GMT 2023","34613","[gui] project","","","","","create project","create new project using gui dashboard"
"passed","Thu Nov 02 03:10:12 GMT 2023","Thu Nov 02 03:10:20 GMT 2023","8235","sql","","","","","create content","create new sql query in editor"
"passed","Thu Nov 02 03:18:23 GMT 2023","Thu Nov 02 03:18:25 GMT 2023","2071","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
"skipped","Thu Nov 02 03:16:50 GMT 2023","Thu Nov 02 03:16:50 GMT 2023","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Thu Nov 02 03:18:06 GMT 2023","Thu Nov 02 03:18:11 GMT 2023","4785","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"skipped","Thu Nov 02 03:19:15 GMT 2023","Thu Nov 02 03:19:15 GMT 2023","0","authentication","","","","","[skip-stage] on auth state changed should return events",""
"passed","Thu Nov 02 03:19:11 GMT 2023","Thu Nov 02 03:19:13 GMT 2023","2216","authentication","","","","","get user should return logged in user","When user is signed in then he should be able to get his info and metadata"
"passed","Thu Nov 02 03:16:39 GMT 2023","Thu Nov 02 03:16:40 GMT 2023","1631","data","","","","","profile data restored","Check if data is restored after pause/resume"
"passed","Thu Nov 02 03:18:35 GMT 2023","Thu Nov 02 03:18:40 GMT 2023","5029","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Thu Nov 02 03:10:24 GMT 2023","Thu Nov 02 03:10:26 GMT 2023","2069","home","","","","","get project","get project"
"skipped","Thu Nov 02 03:10:08 GMT 2023","Thu Nov 02 03:10:08 GMT 2023","4","[gui] support forms","","","","","[skip-stage] new ticket from project",""
"passed","Thu Nov 02 03:10:22 GMT 2023","Thu Nov 02 03:10:23 GMT 2023","1446","home","","","","","get projects","get projects list"
"passed","Thu Nov 02 03:17:28 GMT 2023","Thu Nov 02 03:17:32 GMT 2023","4149","storage","","","","","delete bucket","get bucket should return bucket info"
"passed","Thu Nov 02 03:17:42 GMT 2023","Thu Nov 02 03:17:46 GMT 2023","3429","storage","","","","","download file from bucket","download file"
"passed","Thu Nov 02 03:18:47 GMT 2023","Thu Nov 02 03:18:49 GMT 2023","2114","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Thu Nov 02 03:17:07 GMT 2023","Thu Nov 02 03:17:12 GMT 2023","5379","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 1","There has to be default RLS policy to not allow users to create bucket"
"passed","Thu Nov 02 03:17:32 GMT 2023","Thu Nov 02 03:17:36 GMT 2023","3824","storage","","","","","upload to bucket","upload to bucket"
"passed","Thu Nov 02 03:17:12 GMT 2023","Thu Nov 02 03:17:17 GMT 2023","4776","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Thu Nov 02 03:11:13 GMT 2023","Thu Nov 02 03:11:14 GMT 2023","817","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"passed","Thu Nov 02 03:16:57 GMT 2023","Thu Nov 02 03:16:59 GMT 2023","2482","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"passed","Thu Nov 02 03:18:46 GMT 2023","Thu Nov 02 03:18:47 GMT 2023","1136","auth_admin","","","","","get user should work","When you get user by id he has to be returned"
"passed","Thu Nov 02 03:18:01 GMT 2023","Thu Nov 02 03:18:06 GMT 2023","5170","storage","","","","","get public link to private file","get public link to file in the private bucket"
"passed","Thu Nov 02 03:17:57 GMT 2023","Thu Nov 02 03:18:01 GMT 2023","3797","storage","","","","","get public link to file","get public link to file in the public bucket"
"passed","Thu Nov 02 03:19:16 GMT 2023","Thu Nov 02 03:19:19 GMT 2023","2226","postgrest","","","","","insert row","User can insert profile for himself according to RLS to profiles table"
"passed","Thu Nov 02 03:17:24 GMT 2023","Thu Nov 02 03:17:28 GMT 2023","4202","storage","update bucket","","","","update bucket 1","update bucket should change bucket both public->private and back"
"passed","Thu Nov 02 03:18:11 GMT 2023","Thu Nov 02 03:18:14 GMT 2023","3405","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Thu Nov 02 03:19:19 GMT 2023","Thu Nov 02 03:19:21 GMT 2023","2775","postgrest","","","","","select row","User can select his profile from profiles table"
"skipped","Thu Nov 02 03:10:09 GMT 2023","Thu Nov 02 03:10:09 GMT 2023","4","forms","","","","","[skip-stage] exit surveys",""
"skipped","Thu Nov 02 03:10:08 GMT 2023","Thu Nov 02 03:10:08 GMT 2023","0","[gui] support forms","","","","","contact enterprise sales",""
"passed","Thu Nov 02 03:16:40 GMT 2023","Thu Nov 02 03:16:43 GMT 2023","2389","data","","","","","storage data restored","Check if storage data is restored after pause/resume"
"skipped","Thu Nov 02 03:18:46 GMT 2023","Thu Nov 02 03:18:46 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 0",""
"passed","Thu Nov 02 03:11:08 GMT 2023","Thu Nov 02 03:11:09 GMT 2023","823","api","","","","","get api service","get api service and project info"
"passed","Thu Nov 02 03:10:05 GMT 2023","Thu Nov 02 03:10:06 GMT 2023","1149","tables","","","","","get publications","get publications list"
"skipped","Thu Nov 02 03:11:11 GMT 2023","Thu Nov 02 03:11:11 GMT 2023","4","storage","","","","","create storage bucket",""
"passed","Thu Nov 02 03:19:42 GMT 2023","Thu Nov 02 03:19:45 GMT 2023","2770","triggers","","","","","trigger works","Insert user profile to trigger the a according trigger"
"passed","Thu Nov 02 03:10:02 GMT 2023","Thu Nov 02 03:10:04 GMT 2023","1242","tables","","","","","get triggers","get triggers list"
"passed","Thu Nov 02 03:16:59 GMT 2023","Thu Nov 02 03:17:01 GMT 2023","1803","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"passed","Thu Nov 02 03:16:38 GMT 2023","Thu Nov 02 03:16:39 GMT 2023","1105","data","","","","","login after restore","Check if user can login after pause/restore"
"passed","Thu Nov 02 03:18:22 GMT 2023","Thu Nov 02 03:18:23 GMT 2023","1073","auth_admin","","","","","create user via admin api","When you create user then it has to be in auth db schema"
"passed","Thu Nov 02 03:19:13 GMT 2023","Thu Nov 02 03:19:15 GMT 2023","2280","authentication","","","","","set session should set new auth","When user changes session then he still should be correctly logined"
"passed","Thu Nov 02 03:19:00 GMT 2023","Thu Nov 02 03:19:02 GMT 2023","2650","authentication","","","","","signup should create user","When user sign up then corresponding user in auth schema should be created"
"passed","Thu Nov 02 03:19:02 GMT 2023","Thu Nov 02 03:19:07 GMT 2023","5091","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Thu Nov 02 03:16:45 GMT 2023","Thu Nov 02 03:16:50 GMT 2023","4470","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"passed","Thu Nov 02 03:09:45 GMT 2023","Thu Nov 02 03:09:47 GMT 2023","1918","tables","","","","","get tables","get tables list"
"passed","Thu Nov 02 03:19:38 GMT 2023","Thu Nov 02 03:19:41 GMT 2023","2904","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"skipped","Thu Nov 02 03:19:46 GMT 2023","Thu Nov 02 03:19:46 GMT 2023","4","functions","","","","","set auth",""
"passed","Thu Nov 02 03:17:20 GMT 2023","Thu Nov 02 03:17:24 GMT 2023","4173","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Thu Nov 02 03:19:21 GMT 2023","Thu Nov 02 03:19:25 GMT 2023","3298","postgrest","","","","","update row","User can update his profile in profiles table"
"passed","Thu Nov 02 03:18:25 GMT 2023","Thu Nov 02 03:18:28 GMT 2023","2429","auth_admin","","","","","admin create user with anon key should fail","When you try to create user with anon key then you should get error"
"passed","Thu Nov 02 03:10:01 GMT 2023","Thu Nov 02 03:10:02 GMT 2023","1205","tables","","","","","get roles","get roles list"
"skipped","Thu Nov 02 03:18:46 GMT 2023","Thu Nov 02 03:18:46 GMT 2023","0","auth_admin","get url for provider","","","","get url for provider 2",""
"passed","Thu Nov 02 03:18:33 GMT 2023","Thu Nov 02 03:18:35 GMT 2023","2597","auth_admin","","","","","list users with service key","When you list users then you should get all users"
"passed","Thu Nov 02 03:18:28 GMT 2023","Thu Nov 02 03:18:33 GMT 2023","5056","auth_admin","","","","","admin create user with logged in user should fail","When you try to create user as logged in user then you should get error"
"passed","Thu Nov 02 03:19:35 GMT 2023","Thu Nov 02 03:19:38 GMT 2023","3316","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"skipped","Thu Nov 02 03:11:10 GMT 2023","Thu Nov 02 03:11:10 GMT 2023","4","users","","","","","[skip-stage] invite user",""
"skipped","Thu Nov 02 03:18:46 GMT 2023","Thu Nov 02 03:18:46 GMT 2023","1","auth_admin","get url for provider","","","","get url for provider 1",""
"passed","Thu Nov 02 03:18:40 GMT 2023","Thu Nov 02 03:18:46 GMT 2023","5607","auth_admin","","","","","list users as logged in user should fail","When you try to list user as logged in user then you should get error"
"passed","Thu Nov 02 03:18:14 GMT 2023","Thu Nov 02 03:18:18 GMT 2023","4418","storage","","","","","update file","update file check if it will change"
"passed","Thu Nov 02 03:10:24 GMT 2023","Thu Nov 02 03:10:24 GMT 2023","819","home","","","","","get project settings","get project settings"
"passed","Thu Nov 02 03:19:07 GMT 2023","Thu Nov 02 03:19:11 GMT 2023","3335","authentication","","","","","existing users should be able to login","When user is already signed up then he should be able to log in"
"passed","Thu Nov 02 03:10:23 GMT 2023","Thu Nov 02 03:10:24 GMT 2023","522","home","","","","","get organizations","get organizations list"
"passed","Thu Nov 02 03:17:36 GMT 2023","Thu Nov 02 03:17:42 GMT 2023","6231","storage","","","","","list files","list files in bucket"
"passed","Thu Nov 02 03:17:46 GMT 2023","Thu Nov 02 03:17:52 GMT 2023","6164","storage","","","","","[skip-local] move file in bucket","move file"
"passed","Thu Nov 02 03:17:17 GMT 2023","Thu Nov 02 03:17:20 GMT 2023","2976","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Thu Nov 02 03:19:31 GMT 2023","Thu Nov 02 03:19:35 GMT 2023","4015","rpc","","","","","call rpc and get result","When you call rpc then you are able to receive its result"
"skipped","Thu Nov 02 03:10:09 GMT 2023","Thu Nov 02 03:10:09 GMT 2023","0","forms","","","","","[skip-stage] product feedback submissions",""
"passed","Thu Nov 02 03:09:47 GMT 2023","Thu Nov 02 03:09:48 GMT 2023","1355","tables","","","","","get schemas","get schemas list"
"passed","Thu Nov 02 03:09:48 GMT 2023","Thu Nov 02 03:10:01 GMT 2023","12694","tables","","","","","add table","create table via dashboard API"
"passed","Thu Nov 02 03:17:01 GMT 2023","Thu Nov 02 03:17:07 GMT 2023","5846","storage","user cannot create bucket because of RLS","","","","user cannot create bucket because of RLS 0","There has to be default RLS policy to not allow users to create bucket"
"passed","Thu Nov 02 03:18:53 GMT 2023","Thu Nov 02 03:18:58 GMT 2023","5750","auth_admin","","","","","delete user with anon key should fail","When you delete user with anon key you have to receive an error"
"passed","Thu Nov 02 03:10:04 GMT 2023","Thu Nov 02 03:10:05 GMT 2023","1370","tables","","","","","get extensions","get extensions list"
"passed","Thu Nov 02 03:16:43 GMT 2023","Thu Nov 02 03:16:44 GMT 2023","946","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
"passed","Thu Nov 02 03:17:52 GMT 2023","Thu Nov 02 03:17:57 GMT 2023","4950","storage","","","","","[skip-local] copy file in bucket","copy file"
"passed","Thu Nov 02 03:19:25 GMT 2023","Thu Nov 02 03:19:30 GMT 2023","4776","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Thu Nov 02 03:10:26 GMT 2023","Thu Nov 02 03:10:30 GMT 2023","3316","home","","","","","supabase auth is working in project","check supabase clients works correctly"
"passed","Thu Nov 02 03:18:49 GMT 2023","Thu Nov 02 03:18:53 GMT 2023","3631","auth_admin","","","","","delete user should work","When you delete user then this user has to be removed"
"skipped","Thu Nov 02 03:10:09 GMT 2023","Thu Nov 02 03:10:09 GMT 2023","1","forms","","","","","[skip-stage] feedback submissions",""
"skipped","Thu Nov 02 03:19:07 GMT 2023","Thu Nov 02 03:19:07 GMT 2023","1","authentication","","","","","create new users by phone auth",""
