"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 27 12:18:58 GMT 2024","Tue Feb 27 12:18:58 GMT 2024","0","realtime","multiple subscriptions","","","","multiple subscriptions 2",""
"passed","Tue Feb 27 12:17:09 GMT 2024","Tue Feb 27 12:17:13 GMT 2024","3822","postgrest","","","","","delete row","User can delete his profile in profiles table"
"passed","Tue Feb 27 12:07:50 GMT 2024","Tue Feb 27 12:07:50 GMT 2024","389","api","","","","","get api service","get api service and project info"
"passed","Tue Feb 27 12:19:43 GMT 2024","Tue Feb 27 12:19:47 GMT 2024","3462","auth_admin","","","","","list users with anon key should fail","When you try to list user with anon key then you should get error"
"passed","Tue Feb 27 12:07:36 GMT 2024","Tue Feb 27 12:07:39 GMT 2024","3163","forms","","","","","[skip-stage] product feedback submissions","get latest product feedback submissions"
"passed","Tue Feb 27 12:20:31 GMT 2024","Tue Feb 27 12:20:34 GMT 2024","2824","rpc","","","","","call rpc with head option","When you call rpc with head param, no data should be returned"
"passed","Tue Feb 27 12:18:58 GMT 2024","Tue Feb 27 12:19:09 GMT 2024","11177","realtime","","","","","unsubscribe from table","When you unsubscribe from table then no events have to be returned"
"passed","Tue Feb 27 12:20:03 GMT 2024","Tue Feb 27 12:20:07 GMT 2024","3922","authentication","","","","","sing up new user and sign in","When user sign up then he should not be logged in until he confirms his email"
"passed","Tue Feb 27 12:16:49 GMT 2024","Tue Feb 27 12:16:53 GMT 2024","4249","triggers","","","","","trigger works only once","Check if there are any duplicated in table with triggered inserts"
"skipped","Tue Feb 27 12:16:53 GMT 2024","Tue Feb 27 12:16:53 GMT 2024","1","triggers","","","","","triggers work only once after pause/resume",""
"passed","Tue Feb 27 12:07:39 GMT 2024","Tue Feb 27 12:07:39 GMT 2024","407","tables","","","","","get publications","get publications list"
"passed","Tue Feb 27 12:17:34 GMT 2024","Tue Feb 27 12:17:37 GMT 2024","3338","storage","","","","","get bucket","get bucket should return bucket info"
"passed","Tue Feb 27 12:17:17 GMT 2024","Tue Feb 27 12:17:19 GMT 2024","1751","storage","create bucket","","","","create bucket 1","When you create public bucket then it has to be available"
"skipped","Tue Feb 27 12:20:13 GMT 2024","Tue Feb 27 12:20:13 GMT 2024","0","authentication","","","","","update user should update logged in user",""
"passed","Tue Feb 27 12:07:42 GMT 2024","Tue Feb 27 12:07:43 GMT 2024","1728","home","","","","","get project","get project"
"passed","Tue Feb 27 12:07:38 GMT 2024","Tue Feb 27 12:07:38 GMT 2024","486","tables","","","","","get triggers","get triggers list"
"passed","Tue Feb 27 12:07:54 GMT 2024","Tue Feb 27 12:07:55 GMT 2024","404","settings","","","","","get postgrest settings","get api service (postgrest) settings list"
"skipped","Tue Feb 27 12:18:58 GMT 2024","Tue Feb 27 12:18:58 GMT 2024","0","realtime","subscribe on RLS table with service key","","","","subscribe on RLS table with service key 3",""
"passed","Tue Feb 27 12:16:54 GMT 2024","Tue Feb 27 12:16:54 GMT 2024","813","data","","","","","procedures data restored","Check if procedure is restored after pause/resume"
